"10826: Population, by region, age, contents and year"

"region";"age";"Persons 2024"
"030103a Sagene";"20 years";404
"030103a Sagene";"21 years";518
"030103a Sagene";"22 years";677
"030103a Sagene";"23 years";867
"030103a Sagene";"24 years";1097
"030103a Sagene";"25 years";1314
"030103a Sagene";"26 years";1558
"030103a Sagene";"27 years";1812
"030103a Sagene";"28 years";1974
"030103a Sagene";"29 years";1923
"030103a Sagene";"30 years";1829
"030103a Sagene";"31 years";1831
"030103a Sagene";"32 years";1711
"030103a Sagene";"33 years";1536
"030103a Sagene";"34 years";1415
"030103a Sagene";"35 years";1199
"030103a Sagene";"36 years";1060
"030103a Sagene";"37 years";1009
"030103a Sagene";"38 years";867
"030103a Sagene";"39 years";858
"030103a Sagene";"40 years";716
"030103a Sagene";"41 years";711
"030103a Sagene";"42 years";682
"030103a Sagene";"43 years";619
"030103a Sagene";"44 years";625
"030103a Sagene";"45 years";558
"030103a Sagene";"46 years";461
"030103a Sagene";"47 years";491
"030103a Sagene";"48 years";489
"030103a Sagene";"49 years";499
"030103a Sagene";"50 years";441
"030103a Sagene";"51 years";433
"030103a Sagene";"52 years";447
"030103a Sagene";"53 years";450
"030103a Sagene";"54 years";424
"030103a Sagene";"55 years";371
"030103a Sagene";"56 years";363
"030103a Sagene";"57 years";364
"030103a Sagene";"58 years";377
"030103a Sagene";"59 years";351
"030103a Sagene";"60 years";339
"030103a Sagene";"61 years";297
"030103a Sagene";"62 years";297
"030103a Sagene";"63 years";313
"030103a Sagene";"64 years";280
"030103a Sagene";"65 years";272
"030103a Sagene";"66 years";267
"030103a Sagene";"67 years";260
"030103a Sagene";"68 years";252
"030103a Sagene";"69 years";246
"030103a Sagene";"70 years";251
"030103a Sagene";"71 years";234
"030103a Sagene";"72 years";210
"030103a Sagene";"73 years";203
"030103a Sagene";"74 years";208
"030103a Sagene";"75 years";171
"030103a Sagene";"76 years";189
"030103a Sagene";"77 years";189
"030103a Sagene";"78 years";181
"030103a Sagene";"79 years";163
"030103a Sagene";"80 years";110
"030103a Sagene";"81 years";114
"030103a Sagene";"82 years";72
"030103a Sagene";"83 years";66
"030103a Sagene";"84 years";62
"030103a Sagene";"85 years";46
"030103a Sagene";"86 years";51
"030103a Sagene";"87 years";46
"030103a Sagene";"88 years";34
"030103a Sagene";"89 years";30
"030103a Sagene";"90 years";25
"030103a Sagene";"91 years";23
"030103a Sagene";"92 years";15
"030103a Sagene";"93 years";16
"030103a Sagene";"94 years";8
"030103a Sagene";"95 years";14
"030103a Sagene";"96 years";8
"030103a Sagene";"97 years";4
"030103a Sagene";"98 years";6
"030103a Sagene";"99 years";10
"030103a Sagene";"100 years";4
"030103a Sagene";"101 years";2
"030103a Sagene";"102 years";2
"030103a Sagene";"103 years";3
"030103a Sagene";"104 years";0
"030103a Sagene";"105 years or older";1
"030104a St. Hanshaugen";"0 years";438
"030104a St. Hanshaugen";"1 year";336
"030104a St. Hanshaugen";"2 years";322
"030104a St. Hanshaugen";"3 years";278
"030104a St. Hanshaugen";"4 years";257
"030104a St. Hanshaugen";"5 years";232
"030104a St. Hanshaugen";"6 years";218
"030104a St. Hanshaugen";"7 years";194
"030104a St. Hanshaugen";"8 years";184
"030104a St. Hanshaugen";"9 years";220
"030104a St. Hanshaugen";"10 years";238
"030104a St. Hanshaugen";"11 years";223
"030104a St. Hanshaugen";"12 years";200
"030104a St. Hanshaugen";"13 years";198
"030104a St. Hanshaugen";"14 years";197
"030104a St. Hanshaugen";"15 years";201
"030104a St. Hanshaugen";"16 years";223
"030104a St. Hanshaugen";"17 years";192
"030104a St. Hanshaugen";"18 years";224
"030104a St. Hanshaugen";"19 years";258
"030104a St. Hanshaugen";"20 years";494
"030104a St. Hanshaugen";"21 years";622
"030104a St. Hanshaugen";"22 years";839
"030104a St. Hanshaugen";"23 years";959
"030104a St. Hanshaugen";"24 years";1308
"030104a St. Hanshaugen";"25 years";1377
"030104a St. Hanshaugen";"26 years";1674
"030104a St. Hanshaugen";"27 years";1700
"030104a St. Hanshaugen";"28 years";1562
"030104a St. Hanshaugen";"29 years";1582
"030104a St. Hanshaugen";"30 years";1442
